vendor,mensagem,destino,spam,total
superible," A OI esta com 1 oferta Especial para sua nova Empresa adquira hj mesmo telefone Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok q entraremos em contato",OI,FALSE,1667
superible," A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato.",OI,FALSE,2130
mailserr," Parabens, seu CNPJ esta ativo! A Oi tem OFERTA EXCLUSIVA em voz e internet para sua empresa. Responda OK que ligamos para voce ou ligue 0800 291 2253",OI,FALSE,909
zootude,1/2 Para voce receber as nossas ofertas adicione nosso numero 22992872243 em seus contatos e nos mande um oi. De 24 a 26 SUPER SEMANA DA LIMPEZA NO SUPERMERCADO,NA,FALSE,241
zootude,2/2  a CLARO! Ja deixei todo mundo avisado por aqui para soltar a promocao para esse codigo! Corre que a oferta vai ate as 20:00hs. Vem para NET!,CLARO,FALSE,3863
zootude,2/2 a CLARO! Ja deixei todo mundo avisado por aqui para soltar a promocao para esse codigo! Corre que a oferta vai ate as 20:00hs. Vem para NET!,CLARO,FALSE,101
zootude,"A claro tem oferta imperdivel para voce 3,5GB internet ligacoes ilimitadas p qualquer operadora apenas R$42,99 Venha a Claro em Tres Rios, altere seu plano hoje",CLARO,FALSE,1311
zootude,"A claro tem oferta imperdivel para voce 3,5GB internet ligacoes locais ilimitadas por R$42,99 Venha a loja Claro no Shopping Estacao Itaipava e altere seu plano",CLARO,FALSE,797
zootude,"A claro tem oferta imperdivel para voce 3,5GB internet ligacoes locais ilimitadas R$42,99 Venha a Claro em Barra do Pirai R Gov Portela e altere seu plano hoje",CLARO,FALSE,932
zootude,"A claro tem oferta imperdivel para voce, 3,5GB internet ligacoes ilimitadas p qualquer operadora apenas R$42,99 Venha a Claro em Teresopolis e altere seu plano",CLARO,FALSE,1895
centigen,"A Claro tem planos para sua empresa economizar! 5GB + Ligacoes ILIMITADAS por R$72,30/mes! Responda sim e receba um contato AGORA!",CLARO,FALSE,770
centigen,"A LOJA APARECIDINHO ELETRO AVISA QUE ESTA TRANSFERINDO NUMERO DA VIVO PARA A CLARO E VOCE CONTINUA COM O MESMO NUMERO. PLANOS DE 19,99 POR MES. FONE: 3385-3380",NA,FALSE,528
centigen,"A Nextel tem planos para sua empresa economizar! 3,5 GB + Ligacoes ILIMITADAS por R$59,99/mes! Responda sim e receba um contato AGORA!",NEXTEL,FALSE,6153
mailserr,"A OI acabou de liberar para vc uma internet de 15MEGA + ligacoes ilimitadas + conteudo online por apenas 119,90. Digite 1 para saber mais, VENHA PARA A OI.",OI,FALSE,4663
superible,"A OI esta com 1 oferta Especial para sua nova Empresa adquira hj mesmo telefone Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok q entraremos em contato",OI,FALSE,5879
superible,"A OI esta com 1 oferta Especial para sua nova Empresa adquira hj mesmo telefone Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok q entraremos em contato.",OI,FALSE,11561
centigen,"A Oi esta com uma mega oferta na sua regiao: Internet 15MB + Wi-Fi dentro e fora de casa + modem gratis por 64,90! Acesse agora compreoi.com.br/oi-internet",OI,FALSE,210
superible,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato",OI,FALSE,2075
superible,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato.",OI,FALSE,2447
centigen,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo + Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato.",OI,FALSE,554
centigen,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo + Mais Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato",OI,FALSE,1651
superible,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo Mais Banda Larga, ligue 0800 942 5512 ou Responda OK que entraremos em contato.",OI,FALSE,4814
centigen,"A OI esta com uma oferta Especial para sua nova Empresa adquira hoje mesmo Fixo Mais Banda Larga, ligue 0800 942 5512 ou Responda ok que entraremos em contato.",OI,FALSE,1146
mailserr,"A Oi tem OFERTA EXCLUSIVA em voz, internet e celular ILIMITADO com 10GB de internet para sua empresa. Responda SIM que ligamos para voce ou ligue 0800 291 2253",OI,FALSE,302
centigen,"A Oi tem uma otima oferta para voce! 15GB de internet + ligacoes Ilimitadas + SMS's ilimitadas por 99,90/mes! Responda SIM para receber uma ligacao AGORA!",OI,FALSE,294012
centigen,"A solucao completa em telefonia movel para sua empresa esta na vivo! Plano Controle a partir de 34,99 ao mes. Responda SIM e receba um contato AGORA",VIVO,FALSE,257
zootude,"A VIVO NH CENTRO(Av Pedro Adams,5347)tem oferta especial p/vc. Venha ate a loja ou agende pelo Whats 99636.7636.De 2a a 6a - 9h as 18h30. Sabados das 9h as 13h.",VIVO,FALSE,6879
centigen,"Adao,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,138
centigen,"Ademir,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,196
centigen,"Adilson,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,343
zootude,"ADRIANA, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",CLARO,FALSE,198
centigen,"Adriana,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,1197
zootude,"ADRIANA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,161
centigen,"Adriano,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,673
centigen,"Agnaldo,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,103
centigen,"Ailton,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,183
centigen,"Alan,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,283
centigen,"Alberto,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,164
centigen,"Alessandra,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,561
zootude,"ALESSANDRA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,109
centigen,"Alessandro,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,288
centigen,"Alex,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,590
centigen,"Alexandra,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,157
zootude,"ALEXANDRE, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",CLARO,FALSE,131
centigen,"Alexandre,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,945
zootude,"ALEXANDRE. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,275
centigen,"Alexsandro,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,160
centigen,"Alice,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,127
zootude,"ALINE, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,128
centigen,"Aline,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,908
centigen,"Alisson,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,169
centigen,"Allan,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,111
centigen,"Almir,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,114
centigen,"Amanda,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,678
zootude,Ana volte a utilizar os beneficios do seu plano Vivo Movel. Pague sua conta vencida em  com o codigo de barras,NA,FALSE,116
zootude,Ana volte a utilizar os beneficios do seu plano Vivo Movel. Pague sua conta vencida em  com o codigo de barras,NA,FALSE,169
zootude,"Ana, a CLARO ainda precisa de sua ligacao! Ligue 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br e saiba mais",NA,FALSE,281
zootude,"Ana, a Claro ainda precisa de sua ligacao! Nos retorne ate o final do dia de hoje no 0800 208 8080 ou 3003 8080, se preferir acesse Claropaguefacil.com.br",NA,FALSE,220
zootude,"Ana, a CLARO ainda precisa de sua ligacao! Retorne ate o final do dia de hoje no 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br",NA,FALSE,190
zootude,"ANA, a Claro preparou uma oferta para voce. Ligue agora 1052 e aproveite.",NA,FALSE,305
zootude,"ANA, a Claro preparou uma oferta para voce. Ligue agora e negocie com ate 20% de desconto.",NA,FALSE,161
zootude,"ANA, a Claro tem uma oferta para voce negociar com ate 30% de desconto. Ligue agora 1052 e aproveite.",NA,FALSE,316
zootude,"ANA, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,642
centigen,"Ana,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,4092
zootude,"ANA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,684
zootude,"ANDERSON, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,156
centigen,"Anderson,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,998
